Time,u[0],u[1],fnorm,gnorm,lm_param,f_eval,iter,LM_status
0,1,0,0,0,0,0,0,Not Started
0.1,0.952381,0.0952381,1.11886e-016,0.739941,0,9,3,CONVERGED: Relative error below tolerance
0.2,0.906298,0.187404,2.08629e-016,0.884569,0,9,3,CONVERGED: Relative error below tolerance
0.3,0.862197,0.275606,0,0.804272,0,9,3,CONVERGED: Relative error below tolerance
0.4,0.820158,0.359684,2.94065e-016,0.984505,0,9,3,CONVERGED: Relative error below tolerance
0.5,0.780141,0.439719,2.3633e-016,0.88038,0,9,3,CONVERGED: Relative error below tolerance
0.6,0.742066,0.515868,1.61841e-016,0.858746,0,9,3,CONVERGED: Relative error below tolerance
0.7,0.705846,0.588308,8.32667e-017,0.950721,0,9,3,CONVERGED: Relative error below tolerance
0.8,0.671393,0.657214,9.81308e-017,0.902125,0,9,3,CONVERGED: Relative error below tolerance
0.9,0.638621,0.722757,1.96262e-017,0.955465,0,9,3,CONVERGED: Relative error below tolerance
1,0.607449,0.785102,1.53285e-016,0.972449,0,9,3,CONVERGED: Relative error below tolerance
1.1,0.577798,0.844403,1.73611e-016,0.741822,0,9,3,CONVERGED: Relative error below tolerance
1.2,0.549595,0.90081,1.90536e-016,0.827436,0,9,3,CONVERGED: Relative error below tolerance
1.3,0.522768,0.954463,2.77556e-016,0.863923,0,9,3,CONVERGED: Relative error below tolerance
1.4,0.497251,1.0055,2.20521e-016,0.738833,0,9,3,CONVERGED: Relative error below tolerance
1.5,0.472979,1.05404,1.96262e-016,0.738978,0,9,3,CONVERGED: Relative error below tolerance
1.6,0.449892,1.10022,6.28344e-017,0.746038,0,9,3,CONVERGED: Relative error below tolerance
1.7,0.427932,1.14414,2.38762e-016,0.919645,0,9,3,CONVERGED: Relative error below tolerance
1.8,0.407044,1.18591,4.90654e-017,0.788906,0,9,3,CONVERGED: Relative error below tolerance
1.9,0.387175,1.22565,7.91156e-017,0.999279,0,9,3,CONVERGED: Relative error below tolerance
2,0.368277,1.26345,1.47196e-016,0.763968,0,9,3,CONVERGED: Relative error below tolerance
2.34,0.310492,1.37902,6.28344e-016,0.992308,0,9,3,CONVERGED: Relative error below tolerance
2.68,0.261585,1.47683,1.24127e-016,0.965231,0,9,3,CONVERGED: Relative error below tolerance
3.02,0.220313,1.55937,1.19381e-016,0.96008,0,9,3,CONVERGED: Relative error below tolerance
3.25,0.19621,1.60758,4.90654e-017,0.854571,0,9,3,CONVERGED: Relative error below tolerance
